Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Electric,23.3,16.1,20.1,14,322,0.8,16.1,7.199999999999999
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Petrol,18.8,13.4,16.4,17,377,1.0,13.4,5.4
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Electric,25.7,17.8,22.1,13,354,0.8,17.8,7.899999999999999
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,Petrol,14.3,9.8,12.3,23,283,1.0,9.8,4.5
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,Petrol,14.8,10.4,12.8,22,294,1.0,10.4,4.4
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,Petrol,13.6,8.6,11.4,25,262,1.0,8.6,5.0
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,Petrol,14.0,9.1,11.8,24,271,1.0,9.1,4.9
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Petrol,14.8,9.8,12.6,22,290,1.0,9.8,5.0
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,Petrol,13.2,8.7,11.2,25,258,1.0,8.7,4.5
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,Petrol,12.7,7.9,10.5,27,242,1.0,7.9,4.799999999999999
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Petrol,15.3,9.8,12.8,22,294,1.0,9.8,5.5
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Petrol,14.9,8.5,12.0,24,276,1.0,8.5,6.4
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,Petrol,9.1,6.3,7.8,36,179,1.0,6.3,2.8
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,Petrol,10.5,6.7,8.8,32,202,1.0,6.7,3.8
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,Diesel,8.7,5.1,7.1,40,192,0.9,5.1,3.5999999999999996
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,Petrol,9.1,6.0,7.7,37,177,1.0,6.0,3.0999999999999996
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,1.0,7.3,3.2
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Petrol,13.9,9.6,12.0,24,276,1.0,9.6,4.300000000000001
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Electric,18.8,13.1,16.2,17,259,0.8,13.1,5.700000000000001
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,Petrol,11.5,8.2,10.0,28,230,1.0,8.2,3.3000000000000007
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Petrol,14.8,9.9,12.6,22,290,1.0,9.9,4.9
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Electric,19.8,13.6,17.0,17,272,0.8,13.6,6.200000000000001
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,Petrol,17.1,12.7,15.1,19,347,1.0,12.7,4.400000000000002
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,Petrol,18.0,13.4,15.9,18,366,1.0,13.4,4.6
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,Electric,23.5,17.7,20.9,14,334,0.8,17.7,5.800000000000001
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,Petrol,18.3,14.2,16.5,17,380,1.0,14.2,4.100000000000001
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,Electric,23.7,18.8,21.5,13,344,0.8,18.8,4.899999999999999
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,Petrol,18.6,13.9,16.5,17,380,1.0,13.9,4.700000000000001
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,Electric,23.9,18.5,21.5,13,344,0.8,18.5,5.399999999999999
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,Petrol,18.3,14.2,16.5,17,380,1.0,14.2,4.100000000000001
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,Electric,25.3,19.3,22.6,12,362,0.8,19.3,6.0
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,Petrol,18.6,13.9,16.5,17,380,1.0,13.9,4.700000000000001
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,Electric,23.9,18.5,21.5,13,344,0.8,18.5,5.399999999999999
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,Petrol,18.3,14.2,16.5,17,380,1.0,14.2,4.100000000000001
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,Electric,25.3,19.3,22.6,12,362,0.8,19.3,6.0
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,Electric,30.0,20.4,25.7,11,411,0.8,20.4,9.600000000000001
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,Petrol,11.3,7.5,9.6,29,221,1.0,7.5,3.8000000000000007
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Petrol,12.6,8.2,10.6,27,244,1.0,8.2,4.4
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Electric,16.7,11.3,14.3,20,229,0.8,11.3,5.399999999999999
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,Petrol,10.0,7.0,8.7,32,200,1.0,7.0,3.0
CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Petrol,11.5,7.9,9.9,29,228,1.0,7.9,3.5999999999999996
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,Petrol,9.3,6.4,8.0,35,184,1.0,6.4,2.9000000000000004
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,Petrol,12.2,8.6,10.6,27,244,1.0,8.6,3.5999999999999996
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,Petrol,13.4,9.9,11.8,24,271,1.0,9.9,3.5
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,Electric,18.9,14.2,16.8,17,269,0.8,14.2,4.699999999999999
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,Petrol,14.6,10.3,12.7,22,292,1.0,10.3,4.299999999999999
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,Electric,19.5,13.7,16.9,17,270,0.8,13.7,5.800000000000001
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Petrol,16.3,11.4,14.1,20,324,1.0,11.4,4.9
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,Petrol,14.2,10.6,12.6,22,290,1.0,10.6,3.5999999999999996
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,Electric,20.0,15.1,17.8,16,285,0.8,15.1,4.9
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,Petrol,14.9,10.6,13.0,22,299,1.0,10.6,4.300000000000001
